,chord,n,notes,1,2,3,4,5
1,C:major,1183,C E,C,E,,,
2,G:major,1140,G B,G,B,,,
3,A:major,1071,C# A E,C#,A,E,,
4,D:major,1054,F# D A,F#,D,A,,
5,F:major,859,F C A E B ,F,C,A,E,B
6,E:major,839,G# E B,G#,E,B,,
7,Bb:major,718,F A# D,F,A#,D,,
8,B:major,503,F C A ,F,C,A,,
9,Ab:major,375,C G# D# ,C,G#,D#,,
10,Eb:major,360,D# A# G,D#,A#,G,,
11,A:minor,328,C A E,C,A,E,,
12,E:minor,298,E B,E,B,,,
13,Db:major,293,F G# C# ,F,G#,C#,,
14,D:minor,250,F A D,F,A,D,,
15,B:minor,236,F# B D ,F#,B,D,,
16,N,201,,,,,,
17,E:minor7,186,G D E B,G,D,E,B,
18,C:minor,176,G C D#,G,C,D#,,
19,D:7,176,C F# A,C,F#,A,,
20,A:minor7,170,C E,C,E,,,
